               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.023974,            0.005658,                   0,             0.97938,             0.90762,             0.95178,             0.68646,            0.021027,           0.0042086,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.02369,            0.005887,                   0,             0.97264,             0.90764,             0.95102,             0.68984,             0.02043,           0.0041707,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.022539,           0.0056871,                   0,              0.9691,             0.90127,             0.95022,             0.69767,            0.020361,           0.0041037,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.022757,            0.005405,                   0,             0.96251,             0.90764,             0.94913,             0.68648,            0.020842,           0.0041694,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022044,           0.0053959,                   0,             0.96602,             0.91083,             0.94773,             0.71047,            0.020093,           0.0041834,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.02246,            0.005917,                   0,             0.97917,             0.89803,              0.9498,             0.69482,            0.020214,           0.0041338,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021656,           0.0058275,                   0,             0.96563,             0.89481,             0.94082,             0.67722,            0.020948,           0.0041254,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.021223,           0.0053322,                   0,             0.96551,             0.89172,              0.9458,             0.67982,            0.021047,           0.0041167,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021495,           0.0054141,                   0,              0.9721,             0.88854,             0.94729,             0.69224,            0.019562,           0.0040827,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.021317,            0.005555,                   0,             0.96871,             0.88854,             0.94041,             0.69979,             0.01966,           0.0040968,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020921,           0.0054315,                   0,             0.96895,             0.89809,             0.94719,             0.70727,            0.019559,           0.0041057,                   0,            0.002575,            0.002575,            0.002575
